polygon_id,coordinates,color_r,color_g,color_b,color_a
0,"[[526.1284360860457, 303.6085642725712], [492.3709540643804, 326.8987426221877], [484.7297457845782, 316.3815216953133], [516.1360867970736, 289.8552753681971], [526.1284360860457, 303.6085642725712]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
1,"[[545.6728231638801, 352.9930322113563], [506.3704890014039, 364.71167246443406], [502.3532680745295, 352.34793775259703], [540.419534259506, 336.8250714343387], [545.6728231638801, 352.9930322113563]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
2,"[[549.0, 406.0], [508.0, 405.0], [508.0, 392.0], [549.0, 389.0], [549.0, 406.0]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
3,"[[535.7842793438818, 457.44077631008855], [497.09997917015545, 443.82002302442055], [501.11720009702975, 431.4562883125836], [541.0375682482559, 441.27281553307097], [535.7842793438818, 457.44077631008855]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
4,"[[507.3193080126865, 502.2799795474271], [474.73739649560616, 477.37176720906075], [482.37860477540835, 466.85454628218645], [517.3116573016586, 488.52669064305303], [507.3193080126865, 502.2799795474271]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
5,"[[466.3914357274288, 536.1284360860457], [443.1012573778124, 502.3709540643804], [453.6184783046867, 494.7297457845782], [480.1447246318029, 526.1360867970736], [466.3914357274288, 536.1284360860457]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
6,"[[417.0069677886437, 555.6728231638801], [405.288327535566, 516.3704890014038], [417.65206224740297, 512.3532680745295], [433.1749285656613, 550.419534259506], [417.0069677886437, 555.6728231638801]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
7,"[[364.0, 559.0], [365.0, 518.0], [378.0, 518.0], [381.0, 559.0], [364.0, 559.0]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
8,"[[312.55922368991145, 545.7842793438818], [326.17997697557945, 507.09997917015545], [338.5437116874164, 511.11720009702975], [328.7271844669291, 551.0375682482559], [312.55922368991145, 545.7842793438818]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
9,"[[504.49619049754597, 324.03225752719175], [514.395651981338, 341.14196304689375], [558.6726497856324, 322.64276410643953], [542.4228939574696, 297.48948140367713], [504.49619049754597, 324.03225752719175]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
10,"[[518.7880667312617, 365.73238725463773], [522.9158243088962, 385.06378601469333], [570.7423184475799, 381.1523470975632], [563.0606740984715, 352.2087029715412], [518.7880667312617, 365.73238725463773]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
11,"[[519.4944, 409.808], [517.4464, 429.4688], [564.1408, 440.528], [565.7792, 410.6272], [519.4944, 409.808]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
