Color
#FAFAFA
#F1C924
#F08C00
#EC4204
#DEB1AE
#D9505B
#D42224
#98BBE5
#0478A4
#16249A
#A21818
#82C38C
#2F563C
#653979
#1D1C21
#FFE6EE
