polygon_id,coordinates,color_r,color_g,color_b,color_a
0,"[[267.7200204525729, 517.3193080126865], [292.62823279093925, 484.73739649560616], [303.14545371781355, 492.37860477540835], [281.47330935694697, 527.3116573016586], [267.7200204525729, 517.3193080126865]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
1,"[[233.87156391395433, 476.3914357274288], [267.6290459356196, 453.1012573778124], [275.2702542154218, 463.6184783046867], [243.86391320292637, 490.1447246318029], [233.87156391395433, 476.3914357274288]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
2,"[[214.3271768361199, 427.0069677886437], [253.62951099859612, 415.288327535566], [257.6467319254705, 427.65206224740297], [219.58046574049402, 443.1749285656613], [214.3271768361199, 427.0069677886437]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
3,"[[211.0, 374.00000000000006], [252.0, 375.0], [252.0, 388.0], [211.0, 391.00000000000006], [211.0, 374.00000000000006]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
4,"[[224.21572065611818, 322.55922368991145], [262.90002082984455, 336.17997697557945], [258.88279990297025, 348.5437116874165], [218.96243175174408, 338.7271844669291], [224.21572065611818, 322.55922368991145]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
5,"[[318.05533230508894, 516.5460494821037], [299.9896671539931, 508.5227644137243], [275.0423797868402, 549.5142970640253], [302.97343702569435, 560.3123634057297], [318.05533230508894, 516.5460494821037]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
6,"[[281.9822402780339, 491.21048994272735], [267.2801031517219, 477.9972948499756], [230.88674272288483, 509.27342332996426], [254.11397071093526, 528.1741660452949], [281.9822402780339, 491.21048994272735]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
7,"[[255.50380950245403, 455.96774247280825], [245.60434801866208, 438.8580369531063], [201.32735021436758, 457.3572358935605], [217.57710604253046, 482.5105185963229], [255.50380950245403, 455.96774247280825]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
8,"[[241.21193326873836, 414.26761274536227], [237.08417569110387, 394.93621398530667], [189.25768155242002, 398.84765290243683], [196.9393259015285, 427.79129702845887], [241.21193326873836, 414.26761274536227]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
9,"[[240.5056, 370.192], [242.5536, 350.5312], [195.8592, 339.47200000000004], [194.2208, 369.37280000000004], [240.5056, 370.192]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
10,"[[253.45395051789626, 328.05533230508894], [261.4772355862757, 309.9896671539931], [220.4857029359747, 285.0423797868402], [209.68763659427032, 312.9734370256944], [253.45395051789626, 328.05533230508894]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
11,"[[279.1898026972478, 532.7733615202086], [266.5483780340352, 522.6364086800145], [251.87319823222964, 534.6646318715203], [269.764377992626, 553.8288753030045], [279.1898026972478, 532.7733615202086]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
12,"[[240.00440989243478, 494.63347165431617], [231.11419129002954, 481.0862415462296], [213.4403405334092, 487.99088163769784], [224.53378672407507, 511.74583882845695], [240.00440989243478, 494.63347165431617]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
13,"[[214.5227608539817, 446.2513285586347], [210.25398485098253, 430.61991845473756], [191.31150279256443, 431.725101166559], [194.52131160777293, 457.7454713962427], [214.5227608539817, 446.2513285586347]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
14,"[[205.23917693086088, 392.36291349758227], [206.00970106475262, 376.17743472928225], [187.65280982844786, 371.37497707736304], [182.6647828173133, 397.1137052133101], [205.23917693086088, 392.36291349758227]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
15,"[[213.0624, 338.2432], [218.7968, 323.0880000000001], [202.8224, 312.84800000000007], [190.1248, 335.78560000000004], [213.0624, 338.2432]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
